pip_value estimasi: 1.0 (override dengan --pipval)

Backtest: XAUUSD | step=4 | trail=OFF
CSV: ../data/XAUUSD_GMT+0_NO-DST_M15.csv
  132,634 candle M15 | 2020-01-01 23:00:00 s/d 2025-08-11 23:45:00
Estimasi 33,096 iterasi sinyal. Ini mungkin butuh beberapa menit...

Resampling ke H4 dan D1... H4=8,974 bars | D1=1,743 bars
   44.4% | bar=59,026/132,634 | trades=490 | equity=$2,185.57 | ETA=7.8min
   45.7% | bar=60,746/132,634 | trades=500 | equity=$2,236.46 | ETA=7.6min
   45.7% | bar=60,750/132,634 | trades=500 | equity=$2,236.46 | ETA=7.6min
   46.4% | bar=61,678/132,634 | trades=510 | equity=$2,287.24 | ETA=7.5min
   47.8% | bar=63,522/132,634 | trades=520 | equity=$2,334.56 | ETA=7.3min
   49.0% | bar=65,082/132,634 | trades=530 | equity=$2,379.84 | ETA=7.2min
   49.0% | bar=65,086/132,634 | trades=530 | equity=$2,379.84 | ETA=7.2min
   49.0% | bar=65,090/132,634 | trades=530 | equity=$2,379.84 | ETA=7.2min
   49.7% | bar=66,090/132,634 | trades=540 | equity=$2,466.44 | ETA=7.1min
   50.0% | bar=66,506/132,634 | trades=550 | equity=$2,510.57 | ETA=7.1min
   50.1% | bar=66,510/132,634 | trades=550 | equity=$2,510.57 | ETA=7.1min
   50.1% | bar=66,514/132,634 | trades=550 | equity=$2,510.57 | ETA=7.1min
   51.0% | bar=67,754/132,634 | trades=560 | equity=$2,525.90 | ETA=6.9min
   51.0% | bar=67,770/132,634 | trades=560 | equity=$2,525.90 | ETA=6.9min
   51.0% | bar=67,806/132,634 | trades=560 | equity=$2,525.90 | ETA=6.9min
   52.4% | bar=69,666/132,634 | trades=570 | equity=$2,604.27 | ETA=6.8min
   53.5% | bar=71,126/132,634 | trades=580 | equity=$2,596.87 | ETA=6.6min
   54.5% | bar=72,450/132,634 | trades=590 | equity=$2,583.12 | ETA=6.5min
   54.5% | bar=72,462/132,634 | trades=590 | equity=$2,583.12 | ETA=6.5min
   54.6% | bar=72,494/132,634 | trades=590 | equity=$2,583.12 | ETA=6.5min
   54.6% | bar=72,506/132,634 | trades=590 | equity=$2,583.12 | ETA=6.5min
   54.6% | bar=72,510/132,634 | trades=590 | equity=$2,583.12 | ETA=6.5min
   54.6% | bar=72,566/132,634 | trades=590 | equity=$2,583.12 | ETA=6.5min
   55.3% | bar=73,510/132,634 | trades=600 | equity=$2,636.99 | ETA=6.4min
   55.3% | bar=73,514/132,634 | trades=600 | equity=$2,636.99 | ETA=6.4min
   55.3% | bar=73,518/132,634 | trades=600 | equity=$2,636.99 | ETA=6.4min
   55.4% | bar=73,530/132,634 | trades=600 | equity=$2,636.99 | ETA=6.4min
   55.4% | bar=73,534/132,634 | trades=600 | equity=$2,636.99 | ETA=6.4min
   56.9% | bar=75,526/132,634 | trades=610 | equity=$2,690.51 | ETA=6.2min
   57.4% | bar=76,214/132,634 | trades=620 | equity=$2,661.25 | ETA=6.1min
   57.4% | bar=76,218/132,634 | trades=620 | equity=$2,661.25 | ETA=6.1min
   57.4% | bar=76,230/132,634 | trades=620 | equity=$2,661.25 | ETA=6.1min
   58.1% | bar=77,210/132,634 | trades=630 | equity=$2,616.12 | ETA=6.0min
   58.9% | bar=78,258/132,634 | trades=640 | equity=$2,606.12 | ETA=5.8min
   58.9% | bar=78,262/132,634 | trades=640 | equity=$2,606.12 | ETA=5.8min
   58.9% | bar=78,266/132,634 | trades=640 | equity=$2,606.12 | ETA=5.8min
   58.9% | bar=78,270/132,634 | trades=640 | equity=$2,606.12 | ETA=5.8min
   58.9% | bar=78,274/132,634 | trades=640 | equity=$2,606.12 | ETA=5.8min
   59.8% | bar=79,478/132,634 | trades=650 | equity=$2,637.18 | ETA=5.7min
   59.9% | bar=79,482/132,634 | trades=650 | equity=$2,637.18 | ETA=5.7min
   59.9% | bar=79,486/132,634 | trades=650 | equity=$2,637.18 | ETA=5.7min
   59.9% | bar=79,490/132,634 | trades=650 | equity=$2,637.18 | ETA=5.7min
   59.9% | bar=79,494/132,634 | trades=650 | equity=$2,637.18 | ETA=5.7min
   59.9% | bar=79,522/132,634 | trades=650 | equity=$2,637.18 | ETA=5.7min
   59.9% | bar=79,574/132,634 | trades=650 | equity=$2,637.18 | ETA=5.7min
   60.8% | bar=80,730/132,634 | trades=660 | equity=$2,619.74 | ETA=5.6min
   60.8% | bar=80,734/132,634 | trades=660 | equity=$2,619.74 | ETA=5.6min
   61.9% | bar=82,246/132,634 | trades=670 | equity=$2,642.56 | ETA=5.4min
   62.1% | bar=82,402/132,634 | trades=670 | equity=$2,642.56 | ETA=5.4min
   62.1% | bar=82,410/132,634 | trades=670 | equity=$2,642.56 | ETA=5.4min
   62.3% | bar=82,690/132,634 | trades=670 | equity=$2,642.56 | ETA=5.4min
   64.3% | bar=85,338/132,634 | trades=680 | equity=$2,659.87 | ETA=5.1min
   67.4% | bar=89,458/132,634 | trades=690 | equity=$2,769.57 | ETA=4.7min
   67.4% | bar=89,462/132,634 | trades=690 | equity=$2,769.57 | ETA=4.7min
   67.4% | bar=89,530/132,634 | trades=690 | equity=$2,769.57 | ETA=4.7min
   67.4% | bar=89,534/132,634 | trades=690 | equity=$2,769.57 | ETA=4.7min
   67.5% | bar=89,550/132,634 | trades=690 | equity=$2,769.57 | ETA=4.7min
   67.5% | bar=89,554/132,634 | trades=690 | equity=$2,769.57 | ETA=4.7min
   67.5% | bar=89,622/132,634 | trades=690 | equity=$2,769.57 | ETA=4.7min
   67.5% | bar=89,626/132,634 | trades=690 | equity=$2,769.57 | ETA=4.7min
   68.6% | bar=91,114/132,634 | trades=700 | equity=$2,777.68 | ETA=4.5min
   70.6% | bar=93,674/132,634 | trades=710 | equity=$2,760.10 | ETA=4.2min
   70.6% | bar=93,678/132,634 | trades=710 | equity=$2,760.10 | ETA=4.2min
   70.6% | bar=93,682/132,634 | trades=710 | equity=$2,760.10 | ETA=4.2min
   70.6% | bar=93,690/132,634 | trades=710 | equity=$2,760.10 | ETA=4.2min
   70.7% | bar=93,842/132,634 | trades=710 | equity=$2,760.10 | ETA=4.2min
   71.5% | bar=94,942/132,634 | trades=720 | equity=$2,810.83 | ETA=4.1min
   72.6% | bar=96,410/132,634 | trades=730 | equity=$2,775.88 | ETA=3.9min
   72.7% | bar=96,502/132,634 | trades=730 | equity=$2,775.88 | ETA=3.9min
   73.1% | bar=96,970/132,634 | trades=740 | equity=$2,734.90 | ETA=3.9min
   73.1% | bar=97,038/132,634 | trades=740 | equity=$2,734.90 | ETA=3.9min
   74.9% | bar=99,354/132,634 | trades=750 | equity=$2,745.34 | ETA=3.6min
   75.5% | bar=100,154/132,634 | trades=760 | equity=$2,725.24 | ETA=3.5min
   75.8% | bar=100,622/132,634 | trades=770 | equity=$2,773.64 | ETA=3.5min
   76.0% | bar=100,910/132,634 | trades=780 | equity=$2,780.79 | ETA=3.4min
   76.0% | bar=100,914/132,634 | trades=780 | equity=$2,780.79 | ETA=3.4min
   76.0% | bar=100,918/132,634 | trades=780 | equity=$2,780.79 | ETA=3.4min
   76.0% | bar=100,922/132,634 | trades=780 | equity=$2,780.79 | ETA=3.4min
   76.1% | bar=100,982/132,634 | trades=780 | equity=$2,780.79 | ETA=3.4min
   76.5% | bar=101,486/132,634 | trades=790 | equity=$2,788.75 | ETA=3.4min
   76.5% | bar=101,490/132,634 | trades=790 | equity=$2,788.75 | ETA=3.4min
   76.8% | bar=101,942/132,634 | trades=800 | equity=$2,773.29 | ETA=3.3min
   76.8% | bar=101,946/132,634 | trades=800 | equity=$2,773.29 | ETA=3.3min
   76.8% | bar=101,950/132,634 | trades=800 | equity=$2,773.29 | ETA=3.3min
   76.8% | bar=101,954/132,634 | trades=800 | equity=$2,773.29 | ETA=3.3min
   77.3% | bar=102,534/132,634 | trades=810 | equity=$2,762.02 | ETA=3.3min
   77.3% | bar=102,538/132,634 | trades=810 | equity=$2,762.02 | ETA=3.3min
